DATE,ER VOICE TRAFFIC   2G /3G,ER BUSY TRAFFIC 2G/3G,ZTE VOICE TRAFFIC 2G/3G,ZTE BUSY TRAFFIC 2G/3G,VLR COUNT,SITE COUNT 2G/3G/4G,TCS SITE COUNT,DATA VOL 2G(GB),DATA VOL 3G(GB),DATA VOL ZTE 4G(GB),DATA VOL TCS 4G(GB),DATA VLR 2G,DATA VLR 3G,DATA VLR ZTE 4G,DATA VLR TCS 4G,VOLTE TRAFFIC ZTE,VOLTE TRAFFIC TCS
01-01-2024,1415/1143,101/89,64085/46595,5313/3615,598335,1226/1122/150,,335,34971.3,3596.8,,46479,96645,8290,,365.1,
02-01-2024,1285/879,114/73,50397/36944,4558/3079,624660,1226/1122/150,,309,34564.8,3640.3,,46554,97334,8813,,393.1,
03-01-2024,1314/930,120/75,50048/36773,4518/3001,646125,1226/1122/150,,310,34474,3706.2,,46725,98532,8757,,399.8,
04-01-2024,1367/908,131/65,51077/37487,4761/3122,665678,1226/1122/150,,308,34433.6,3637,,48289,97964,8905,,407.7,
05-01-2024,1350/924,122/74,51037/36551,4895/3084,682962,1226/1122/150,,309,34500.2,3602.1,,47022,98389,8725,,394.4,
06-01-2024,1374/949,136/80,53101/37017,4978/3096,699639,1226/1122/150,,318,35810.1,3685.82,,47430,98105,8684,,366.97,
07-01-2024,1334/943,127/82,50191/33147,4853/3015,710294,1226/1122/150,,255,30371.4,3310.9,,43166,98091,8694,,227.02,
08-01-2024,1505/1005,141/89,53414/38459,5005/3290,718894,1226/1122/150,,304,33733.7,3417.7,,45997,98679,8642,,389.8,
09-01-2024,1487/1020,128/88,52392/38600,4896/3229,731135,1226/1122/150,,300,34048,3313.6,,46871,98484,8564,,349.89,
10-01-2024,1506/1008,133/85,51877/38643,4780/3162,742336,1226/1122/150,,298,33703.7,3279.5,,44339,99137,8263,,336.39,
11-01-2024,1415/1016,128/82,51247/38467,4787/3161,753876,1226/1122/150,,299,34503.7,3317.6,,45648,98669,8415,,398.8,
12-01-2024,1518/1001,134/74,47750/37646,4157/3191,764586,1226/1122/150,,286,33979.3,3165.8,,45972,98607,8551,,381.9,
13-01-2024,1423/958,134/76,49411/36691,4565/2945,774652,1226/1122/150,,292,34223.3,3465.1,,45626,98669,8667,,385.99,
14-01-2024,1337/879,118/73,46312/32788,4418/2787,780976,1226/1122/150,,282,34601.6,3571.1,,44423,95832,8381,,369.91,
15-01-2024,1374/897,114/67,48447/36079,4591/3013,788914,1226/1122/150,,294,34511.8,3603.9,,44563,97246,8466,,332.04,
16-01-2024,1428/937,135/79,50114/37945,4599/3157,797533,1226/1122/150,,292,33341,3392,,45363,97372,8886,,344.98,
17-01-2024,1406/988,119/88,51167/37895,4754/3041,806615,1226/1122/150,,305,34752.2,3625.5,,45885,97517,8711,,372.31,
18-01-2024,1607/1054,140/81,54199/38397,4836/3155,815224,1226/1122/150,,322,35524.4,3152.8,,45359,96138,8867,,362.75,
19-01-2024,1614/949,144/86,49249/37322,4724/3163,823463,1226/1122/150,,313,33616.8,2870.5,,45029,97300,8114,,350.14,
20-01-2024,1530/1041,138/89,51181/37426,4766/3087,831625,1226/1122/150,,320,31406.3,3651.2,,45771,96466,8799,,414.99,
21-01-2024,1430/949,136/86,48192/34034,4646/2974,837478,1226/1122/150,,295,32907.1,3559.3,,44336,96442,8490,,348.45,
22-01-2024,1262/868,118/70,43913/31327,4004/2513,844150,1226/1122/150,,302,33855,3750.3,,43112,97029,8616,,372.85,
23-01-2024,1395/1018,133/89,50567/38447,4822/3214,851221,1226/1122/150,,309,35250.2,3357.9,,45272,97636,8612,,367.1,
24-01-2024,1669/1016,152/81,50695/38549,4878/3256,858073,1226/1122/150,,304,35287.2,3255.1,,43378,97551,8251,,383.7,
25-01-2024,1482/1070,129/88,51419/39411,4787/3206,864878,1226/1122/150,,297,32334.6,3543.2,,45282,98227,8805,,437.5,
26-01-2024,1473/937,141/86,46447/32326,4780/3025,873556,1226/1122/150,,304,32217.4,3840.9,,45320,96946,8729,,422.5,
27-01-2024,1455/1027,132/85,51008/38247,4835/3177,882331,1226/1122/150,,303,35449.2,3840.9,,44613,98137,8557,,422.5,
28-01-2024,1463/995,129/85,49067/35121,4873/3143,888576,1226/1122/150,,287,35720.8,3840.9,,44871,97550,8675,,422.5,
29-01-2024,1467/955,130/92,53104/40775,4872/3349,895029,1226/1122/150,,294,34066.3,3600.8,,44871,97550,8675,,452.4,
30-01-2024,1504/1078,131/85,53298/40738,5008/3445,904776,1226/1122/150,,295,34627.3,3586.2,,44725,99095,8961,,437.4,
31-01-2024,1526/1017,148/82,53224/40515,5025/3359,911990,1226/1122/150,,298,35279.3,3618.3,,45333,98073,8888,,433.8,
01-02-2024,1410/1044,148/84,56894/40177,5139/3317,595406,1226/1122/150,,322,36978.5,3799,,46580,96609,8689,,464.2,
02-02-2024,1451/1063,127/91,52737/38972,5007/3332,624218,1226/1122/150,,310,35342.7,3819.3,,44931,98496,9007,,447,
03-02-2024,999/1132,124/82,52563/39051,4945/3285,645772,1226/1122/150,,301,35335.1,3585.5,,44470,98640,8739,,421.8,
04-02-2024,1333/937,140/84,51009/35764,4959/3210,665157,1226/1122/150,,295,35593.8,3748.5,,43136,98231,8652,,409.1,
05-02-2024,1287/1055,130/89,54762/40397,5161/3439,733244,1226/1122/150,,308,35072.4,3721,,46000,98349,9023,,452,
06-02-2024,1485/1071,145/84,54581/41137,5075/3397,748049,1226/1122/150,,317,35198.1,3796,,46617,97889,9033,,464.3,
07-02-2024,1506/1027,150/81,53314/40904,4987/3457,761032,1226/1122/150,,310,34586,3704.5,,46623,98647,8965,,460.8,
08-02-2024,1454/1046,133/86,53204/40606,4965/3410,773185,1226/1122/150,,313,34853.9,3594.6,,46299,98823,8933,,446.2,
09-02-2024,1517/984,135/76,51678/39691,4869/3248,784237,1226/1122/150,,298,33053.9,3333.5,,44259,102477,8908,,411.8,
10-02-2024,1465/924,127/73,51912/38900,4808/3260,795964,1226/1122/150,,309,34926.1,3653.7,,45574,98546,8821,,457.4,
11-02-2024,1500/883,143/78,49216/35226,4812/3170,803742,1226/1122/150,,300,35626.4,3748.2,,45022,97613,8433,,431.3,
12-02-2024,1564/931,153/80,53186/40108,5031/3334,812255,1226/1122/150,,307,34686.9,3697.6,,45525,98416,8871,,454.5,
13-02-2024,1211/864,140/76,55344/39490,4929/3210,825502,1226/1122/150,,336,34786.7,3831.4,,46618,96605,8832,,427,
14-02-2024,1450/766,129/67,49080/35492,4513/2898,834264,1226/1122/150,,336,35339.6,3621,,46115,97222,8372,,365.8,
15-02-2024,1515/881,119/72,53237/38454,4831/3159,842568,1226/1122/150,,329,35427.7,3776.6,,44990,96929,8589,,391.2,
16-02-2024,1498/794,125/71,51491/37569,4573/2988,851152,1226/1122/150,,324,34224,3333.5,,46248,97461,8649,,417.55,
17-02-2024,1470/926,136/75,51853/38124,4696/3066,860242,1226/1122/150,,318,34945.5,3800.34,,46748,97610,8900,,434.09,
18-02-2024,1502/838,131/76,49458/34854,4670/3071,866543,1226/1122/150,,310,35307.9,3865.83,,45469,96477,8741,,423.35,
19-02-2024,1527/966,152/83,53302/39933,4963/3333,874488,1226/1122/150,,302,34283.7,3699.76,,46150,98252,8863,,431.92,
20-02-2024,1516/958,130/79,53192/39320,4949/3320,883565,1226/1122/150,,306,33978.3,3661.14,,47016,98046,8895,,449.9,
21-02-2024,1433/963,141/85,53117/38624,4939/3271,892129,1226/1122/150,,309,33892.4,3737.33,,48136,97800,8953,,476.8,
